Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	root_freqs[1]	root_freqs[2]	tree_length
0	-54.89328	-119.7148	64.82155	0.2576856	1.674419	0.727149	0.272851	0.4675101
6	-57.93128	-120.9665	63.03525	1.454786	1.067334	0.727149	0.272851	0.07263803
12	-59.79828	-123.9845	64.18621	1.454786	0.8809099	0.59259	0.40741	0.2977024
18	-51.28091	-115.1594	63.87848	1.454786	0.8809099	0.894681	0.105319	0.1692705
24	-51.41166	-115.6273	64.21565	1.284129	0.7975672	0.704081	0.295919	0.1892206
30	-53.40105	-118.5948	65.19377	1.254999	0.2998294	0.704081	0.295919	0.2444344
36	-55.24919	-119.9288	64.67958	1.243129	0.5946811	0.526913	0.473087	0.2498857
42	-57.68418	-121.3345	63.65029	1.243129	1.578813	0.542563	0.457437	0.222788
48	-58.95109	-124.412	65.46087	0.6779611	0.5572219	0.711013	0.288987	0.3817616
54	-58.02922	-123.8451	65.81587	0.3963902	0.5230789	0.80904	0.19096	0.4225632
60	-56.07452	-118.8109	62.73639	1.510857	2.850153	0.855734	0.144266	0.2474109
66	-57.43099	-123.4562	66.02519	0.05865497	0.5886438	0.404742	0.595258	0.6573927
72	-56.38901	-121.6918	65.30283	0.815234	0.5886438	0.713422	0.286578	0.4435772
78	-54.60215	-119.9822	65.38006	0.815234	0.5422365	0.58596	0.41404	0.4947613
84	-61.37618	-125.5325	64.1563	0.5062652	2.390426	0.818764	0.181236	0.476385
90	-62.36019	-127.7061	65.34592	0.2959475	0.7521084	0.873799	0.126201	0.9550943
96	-65.69601	-131.1624	65.46635	0.6294966	0.576291	0.667208	0.332792	0.6702363
102	-64.18637	-128.0173	63.83095	0.5345555	2.43564	0.819617	0.180383	0.9679723
108	-58.07366	-123.3278	65.25416	0.04347826	0.7543121	0.802328	0.197672	1.267245
114	-56.36279	-121.1738	64.81097	1.081339	0.7376749	0.754848	0.245152	0.6338445
120	-46.89502	-112.4124	65.51737	0.3749366	0.7376749	0.873379	0.126621	0.6338445
126	-52.63325	-117.6364	65.00317	0.1741202	0.7376749	0.753607	0.246393	1.380582
132	-55.88596	-122.2665	66.38052	0.3333927	0.2743131	0.404284	0.595716	0.5168117
138	-57.84053	-122.3595	64.51894	0.7429823	1.422119	0.700908	0.299092	0.5168117
144	-53.59342	-119.2881	65.6947	0.4338538	0.585831	0.786315	0.213685	0.5168117
